Modern Boston Outlines.kml	Modern Boston Outlines
MIT Chapel	-71.09411217901173,42.35839394623118,0 -71.09415106225156,42.35837951925782,0 -71.09417809991496,42.35834492802318,0 -71.09417795228298,42.35831064220026,0 -71.0941639105056,42.35828326178657,0 -71.09412496410819,42.35825763515145,0 -71.09408634771877,42.35825165717925,0 -71.09404817992645,42.35825492133645,0 -71.0940102659479,42.3582709076357,0 -71.09398766790643,42.35829706940765,0 -71.09398270973847,42.35833120014394,0 -71.09399781962287,42.35835931530368,0 -71.09401859393003,42.35837871989158,0 -71.09404963315355,42.35839257511188,0 -71.09407255416481,42.35839754166435,0 -71.09411217901173,42.35839394623118,0
Julius Adams Stratton Building	-71.09523380862173,42.35907505821314,0 -71.0950041674227,42.35870109630296,0 -71.09410560116342,42.35899982887786,0 -71.09433971775645,42.3593761750999,0 -71.09523380862173,42.35907505821314,0
West Campus Houses	-71.1012014879304,42.35516296521623,0 -71.10107519672506,42.3549631598397,0 -71.10095512032311,42.35500146206702,0 -71.10083228015688,42.35479123634371,0 -71.10067752866871,42.35484337361746,0 -71.10080737143281,42.35505829938068,0 -71.10059980202605,42.35512987708267,0 -71.10046808438874,42.35491399120296,0 -71.10034476226055,42.35495664913077,0 -71.10047318760788,42.35516968401832,0 -71.10031165622802,42.35522355591024,0 -71.10019213416462,42.35500270655078,0 -71.10002416639436,42.35506183068225,0 -71.10019857850899,42.35537120587748,0 -71.10035234844426,42.35532171787013,0 -71.10041644243437,42.3554297502264,0 -71.10055636306298,42.35538557681396,0 -71.10048951155143,42.35526028402375,0 -71.10066516225768,42.3552030032433,0 -71.10074313719444,42.35532391810553,0 -71.10087701278555,42.35527438630771,0 -71.10080634727019,42.35514981553904,0 -71.10098434478377,42.35508920456114,0 -71.10106065740473,42.35521421392301,0 -71.1012014879304,42.35516296521623,0
Boston University School of Law	-71.10926998247047,42.35121766710417,0 -71.10934192699497,42.35063869088937,0 -71.10863827037539,42.35054714208683,0 -71.10859806114333,42.35076316938166,0 -71.10831801838442,42.3507273392617,0 -71.10833408483302,42.35064556636225,0 -71.10808202135948,42.35061162047249,0 -71.10803923336097,42.35077889535091,0 -71.10773992240409,42.35074613172626,0 -71.10759468445133,42.35132575873201,0 -71.10812443126194,42.3513920508681,0 -71.10825679810884,42.3508135831982,0 -71.10857627616348,42.35085318367575,0 -71.10852786705472,42.35112746978489,0 -71.10926998247047,42.35121766710417,0
Boston Architectural College	-71.08605518401103,42.34855853266657,0 -71.08592937068485,42.34831511586638,0 -71.08568924800892,42.348377353876,0 -71.08581368404583,42.34862823942121,0 -71.08605518401103,42.34855853266657,0
Church Park Apartments	-71.08749059333664,42.34538737113845,0 -71.08656507198015,42.3435067938798,0 -71.08652351295679,42.34349494296035,0 -71.08645520441455,42.34351411520819,0 -71.08643246484264,42.34348050145481,0 -71.08628530052121,42.34352708342128,0 -71.08726150280789,42.34545749544796,0 -71.08749059333664,42.34538737113845,0
Christian Science Center - Admin	-71.08353975083571,42.34488924032912,0 -71.0834769448625,42.34484792584345,0 -71.08350363028197,42.34482351260339,0 -71.08347193542012,42.34479907841187,0 -71.08347705764017,42.34476713042046,0 -71.08343392517099,42.34473984447789,0 -71.08337042307299,42.34474073203096,0 -71.08301072290536,42.34503193611859,0 -71.08308949723404,42.34508353841658,0 -71.08304254445498,42.345119144584,0 -71.08304003515813,42.34515474875392,0 -71.08306671245114,42.34519035062032,0 -71.0831124044652,42.34520348008154,0 -71.08315936128146,42.34519413644061,0 -71.08353975083571,42.34488924032912,0
Christian Science Center - Sunday School	-71.08531860474663,42.34365928151725,0 -71.0850153455968,42.34345875138765,0 -71.08494972537379,42.34352200186402,0 -71.08489742663686,42.34348661390352,0 -71.08491300586931,42.34347264214362,0 -71.08491856822445,42.34346030740897,0 -71.0849163389,42.34344796221986,0 -71.08490743036772,42.34343478478009,0 -71.0848784768653,42.34341746578858,0 -71.08462980113366,42.34361730921491,0 -71.08480037603879,42.3437293031518,0 -71.08484272884479,42.34375152068073,0 -71.08488284525353,42.34376385193939,0 -71.08491626680839,42.3437712432962,0 -71.08496415314922,42.34377780918627,0 -71.0850008937436,42.34378108115592,0 -71.08503205807384,42.3437810611212,0 -71.08506654996043,42.34377939278408,0 -71.0851021401692,42.34377361020801,0 -71.08513215695449,42.34376618783962,0 -71.08516882849089,42.3437554747843,0 -71.08520325899244,42.34374147869195,0 -71.08523101227212,42.34372831351818,0 -71.08526429410146,42.34370529066114,0 -71.08531860474663,42.34365928151725,0
Christian Science Center - North	-71.0863745136806,42.34533025112906,0 -71.08646269857152,42.34501878126336,0 -71.08445598647857,42.34473702492723,0 -71.08435479190146,42.34468357399098,0 -71.08312136546347,42.34569142508591,0 -71.08322518171458,42.34576159707152,0 -71.08349235436546,42.34580292270637,0 -71.08444735154418,42.34502985589603,0 -71.0863745136806,42.34533025112906,0
Charlestown Library	-71.0645802981026,42.37580851812049,0 -71.06441663049075,42.375697242562,0 -71.06414783851665,42.37593564114821,0 -71.06430882014338,42.3760372212688,0 -71.0645802981026,42.37580851812049,0
Carpenter Center	-71.11473529725512,42.37334751212564,0 -71.11469766953658,42.37334245231048,0 -71.11463196783119,42.37350420008968,0 -71.1146172964375,42.37352515064713,0 -71.11459099458254,42.37354101946882,0 -71.11456410966063,42.3735488228393,0 -71.11453909715392,42.37355308612671,0 -71.11450786279588,42.37343110130982,0 -71.11432030616511,42.37346500937603,0 -71.11430652665854,42.37345381074408,0 -71.11427897386716,42.37344871559665,0 -71.11405411506647,42.37342513921268,0 -71.11401407062445,42.37342715294636,0 -71.11397401436878,42.37343222458428,0 -71.11394775960436,42.37344545478226,0 -71.1139270253565,42.37346072850835,0 -71.11390766408357,42.37348619692605,0 -71.11389535532216,42.37351218545297,0 -71.11388564555287,42.37354220571135,0 -71.11388824545332,42.37356875528386,0 -71.11390059231108,42.37359219864096,0 -71.11392126731891,42.37360647023082,0 -71.11395443772584,42.37361564263382,0 -71.11399596129223,42.37361461600708,0 -71.11407619811817,42.37359626435773,0 -71.11409262365409,42.37363906014107,0 -71.11392344321369,42.37367487669938,0 -71.11388591967425,42.37368205908014,0 -71.11386771620437,42.37369742452432,0 -71.11385503401429,42.37371484855535,0 -71.11384647693424,42.37373536190005,0 -71.11381866556162,42.37385985974831,0 -71.1138604357244,42.37386596233993,0 -71.11389796952304,42.37372915480135,0 -71.1139077652123,42.37371992478677,0 -71.11391891674225,42.37371479305965,0 -71.11393561252854,42.37371068137407,0 -71.11410354200542,42.37367374348545,0 -71.11414732940128,42.37378831001871,0 -71.11416666247975,42.37380572266881,0 -71.11418326664518,42.37381288071872,0 -71.11420682613871,42.37381078874146,0 -71.11452315322896,42.37377651955403,0 -71.1145424315352,42.37377343201412,0 -71.11457815708393,42.37375704657617,0 -71.1146079960954,42.3737333462636,0 -71.11462905370331,42.37369550989622,0 -71.1146366089631,42.37366128378223,0 -71.11463165448797,42.37363421665909,0 -71.11461346402336,42.37361551441991,0 -71.1145941950836,42.37360433899283,0 -71.1145652911741,42.37359824785678,0 -71.11453504315591,42.37359621974446,0 -71.11449929446206,42.37359724041161,0 -71.11455428223285,42.37358300457058,0 -71.11458450748238,42.37357284137089,0 -71.11461467128407,42.37356168008166,0 -71.11464061834988,42.37354546878984,0 -71.11465969126895,42.37352622667409,0 -71.11467327138578,42.37350395550495,0 -71.11473529725512,42.37334751212564,0
