New Boston,MAP,Building,Address,Location,Architect,Date,Polygon Coordinates
22,D5,Multi-Faith Spiritual Center,Ell Hall 2fl,Northeastern,Office dA,1998,"-71.08818623779132,42.33962820697806,0 -71.08799719063568,42.33936144608576,0 -71.08772798139705,42.33947041064805,0 -71.08791970149956,42.33973915319216,0 -71.08818623779132,42.33962820697806,0"
23,C5,"Museum of Fine Arts, Boston",465 Huntington Ave,Fenway,"Guy Lowell, Foster and Associates","1909, 2010","-71.09501122779174,42.33979923984271,0 -71.09493298289169,42.33967461122151,0 -71.09484000416766,42.3395953392466,0 -71.09443069678072,42.3397500254583,0 -71.09415810896039,42.33937028362625,0 -71.0945744871737,42.33921477172617,0 -71.09484026333,42.33959418573578,0 -71.09493173120811,42.33967584684513,0 -71.09539672313817,42.33949247355612,0 -71.09499922430714,42.33894072268571,0 -71.09456185285593,42.33910163631286,0 -71.09439367529961,42.33886802227205,0 -71.0946565652728,42.33876674501105,0 -71.09448755538496,42.33853548247649,0 -71.09406021200186,42.33869273513845,0 -71.09422274955459,42.33893413036509,0 -71.09391273453177,42.33905163093622,0 -71.09385839289321,42.33898155829031,0 -71.09367312959662,42.33905246249493,0 -71.09372765898536,42.33913157305233,0 -71.09345657547449,42.33923637444116,0 -71.09328406458776,42.33900076600401,0 -71.09287176474336,42.33917141499137,0 -71.09304102845115,42.33940401061394,0 -71.09330944170368,42.33930090123921,0 -71.09340838084928,42.339439725734,0 -71.09289838441011,42.33964594112595,0 -71.0934144640179,42.34036840150929,0 -71.0936227381908,42.34028563964643,0 -71.0935783943758,42.34021563266687,0 -71.09388264557447,42.34008870642654,0 -71.09396846108639,42.3401981587548,0 -71.09501122779174,42.33979923984271,0"
24,G3,New England Holocaust Memorial,Carmen Park (Faneuil Hall),Government Center,Stanley Saitowitz,1997,"-71.0572612711773,42.36103876823473,0 -71.05708190055168,42.36107668167836,0 -71.05732892140459,42.36154294045828,0 -71.05744808972698,42.36147920700732,0 -71.0572612711773,42.36103876823473,0"
25,D3,Ray and Maria Stata Center,32 Vassar St,MIT,Gehry Partners,2004,"-71.09131077065592,42.3618787848957,0 -71.09152429538128,42.36176530283412,0 -71.09153889966667,42.36178283516661,0 -71.09155166902072,42.36177068389018,0 -71.09161374847258,42.36179494044084,0 -71.09166113024126,42.36173689032552,0 -71.09162798045141,42.3616815632819,0 -71.09166637262375,42.3616680615696,0 -71.09158866102409,42.36152926522325,0 -71.0914389701653,42.36156841454602,0 -71.09143866170751,42.3615334407705,0 -71.09138381764143,42.36153214901813,0 -71.09139580098429,42.36143549904566,0 -71.09131364763564,42.36142222415525,0 -71.09131350398768,42.36131483274477,0 -71.09089912366913,42.36123979638757,0 -71.0908936459915,42.36119675305308,0 -71.09072644819324,42.36120492146388,0 -71.0906953855222,42.36103960131356,0 -71.09080641063235,42.36099041836464,0 -71.09078277689947,42.36095521950319,0 -71.09062621485407,42.36100721653676,0 -71.09066277678805,42.36116860848442,0 -71.09059917763763,42.36117537640607,0 -71.09059930671881,42.36123593698659,0 -71.09058659676352,42.36123997850108,0 -71.09059393701622,42.36127762488116,0 -71.09056487313978,42.36127764005385,0 -71.09057219382704,42.36130452126578,0 -71.09054681873221,42.36132470201341,0 -71.09051779159648,42.36133144661403,0 -71.09049241393825,42.36134356272812,0 -71.09046522221257,42.36135567413497,0 -71.09044709288494,42.36136508589423,0 -71.09043079323294,42.36137986648544,0 -71.09040724047624,42.36139733304188,0 -71.09039095039243,42.36141881541209,0 -71.09036739444396,42.36143225002828,0 -71.09034744163677,42.36143762617335,0 -71.09031115879691,42.36143764683214,0 -71.09027669221894,42.36143766646067,0 -71.09025130264774,42.36143634150683,0 -71.09022589032838,42.36142830612861,0 -71.09019319393229,42.36141356207321,0 -71.09014777010984,42.36139881617019,0 -71.09011325034858,42.36138272908185,0 -71.09007876916874,42.36136933580369,0 -71.09003704227362,42.36136399527975,0 -71.08997899340488,42.36136000493234,0 -71.08996810628338,42.36136001005423,0 -71.08993907438037,42.36136002241786,0 -71.08987261237559,42.36146474796076,0 -71.08990336256754,42.3614566808611,0 -71.08992872555436,42.36145666540403,0 -71.08995775258695,42.36147005646487,0 -71.08997583123816,42.36149014434861,0 -71.089973945719,42.36150488021755,0 -71.08996116873294,42.36152364458605,0 -71.0899395604139,42.36154109618559,0 -71.08991803499397,42.36154380508538,0 -71.08990178890342,42.36154113804616,0 -71.08988005880269,42.36153310958834,0 -71.08986009510082,42.36151971671646,0 -71.08984381494653,42.36151570762345,0 -71.08981841120544,42.36152241431602,0 -71.08978743177175,42.36153179414389,0 -71.0897782892208,42.36155725696669,0 -71.08977822982567,42.36157735895407,0 -71.08977997343149,42.36159746360065,0 -71.08979634201251,42.36161488048106,0 -71.08981105001095,42.36162828041059,0 -71.08982755921517,42.36163631239512,0 -71.08985133731379,42.36164299811215,0 -71.08987135234011,42.3616523665431,0 -71.08989131731363,42.36165503638521,0 -71.08988419717883,42.36172201311982,0 -71.08986798445621,42.36172602715047,0 -71.08998808062766,42.36193278474907,0 -71.08996435266783,42.36196505098702,0 -71.08999140003498,42.36197720071577,0 -71.08997321786914,42.3620000402024,0 -71.09000555961902,42.36201630540818,0 -71.08992718298565,42.36206749293692,0 -71.08996548629058,42.36208622343708,0 -71.09004340735356,42.36204063377942,0 -71.09006691133743,42.36204472643016,0 -71.09008863785486,42.36204208106695,0 -71.09010860214696,42.3620273076441,0 -71.09011952990262,42.36200847419422,0 -71.09011779480767,42.36198692534899,0 -71.09011420789344,42.36197749432137,0 -71.09013236297208,42.36195734055759,0 -71.09016683685387,42.3619116634764,0 -71.09020835262018,42.36192926568352,0 -71.09025544894715,42.3619105185394,0 -71.0904166165806,42.36194332403968,0 -71.09032761503684,42.36202802279209,0 -71.09049099975626,42.36213124641288,0 -71.09057113402531,42.36205588024205,0 -71.09062034320037,42.36211961235766,0 -71.09069339365467,42.36206831836684,0 -71.0907044311836,42.36212089165396,0 -71.09074278299109,42.36209525092262,0 -71.09079580061926,42.36210734543693,0 -71.09079940545662,42.36205746571552,0 -71.09081403206295,42.36206015403352,0 -71.09081218775968,42.36204261982475,0 -71.0909017593343,42.36205730528393,0 -71.09093276795814,42.36196147682983,0 -71.09095652175486,42.36196145819025,0 -71.0909747908451,42.36195334174056,0 -71.09098757212084,42.36193847708665,0 -71.09098572241689,42.3619222452897,0 -71.09098022377806,42.36191277199006,0 -71.09104779539507,42.36188841092078,0 -71.09104601196822,42.36190600987292,0 -71.09104785943589,42.36192087918771,0 -71.09106065180752,42.36193031566356,0 -71.09109170514864,42.36194107613034,0 -71.09111909926489,42.36193969771462,0 -71.09114283933594,42.36193157978234,0 -71.09116293485181,42.3619207761511,0 -71.09117388927407,42.36190997072823,0 -71.09117569740096,42.36189646130594,0 -71.09114829804285,42.3618802894079,0 -71.09115193814164,42.3618667845702,0 -71.09114459215583,42.3618573109263,0 -71.09113542812543,42.36185054436491,0 -71.09124312919964,42.36180862917495,0 -71.09131077065592,42.3618787848957,0"
26,A2,Riverside Park Pavilion,Memorial Dr and Western Ave,Riverside,Touloukian Touloukian,2010,"-71.11550235564708,42.36494290537642,0 -71.11551281990998,42.36475064936683,0 -71.11543116100285,42.36474935674494,0 -71.11541865709395,42.36493478446991,0 -71.11550235564708,42.36494290537642,0"
27,A1,Sackler Museum,32 Quincy St,Harvard,"James Stirling, Michael Wilford and Associates",1985,"-71.11406126309339,42.37487095981694,0 -71.11398650489126,42.37519141096796,0 -71.11380694220465,42.37516723407458,0 -71.11370146440099,42.37526785175997,0 -71.114134523093,42.37532480020134,0 -71.11414743036487,42.37532479116591,0 -71.11416033460731,42.37532131656612,0 -71.11416971801172,42.37531524760681,0 -71.11417675371435,42.3753057160008,0 -71.11426985376833,42.37489683392226,0 -71.11406126309339,42.37487095981694,0"
28,C3,Simmons Hall,229 Vassar St ,MIT,Steven Holl Architects,2002,"-71.1019336548768,42.35673403790277,0 -71.10074908577219,42.35732557491698,0 -71.10085943261885,42.35744790104161,0 -71.10205145095337,42.35686015640385,0 -71.1019336548768,42.35673403790277,0"
29,I4,South Boston Maritime Park,D St and Northern Ave,Seaport District,Machado and Silvetti Associates,2004,"-71.03955554412003,42.34891770787053,0 -71.04012145373466,42.3481899854858,0 -71.04003551979379,42.34814841862887,0 -71.03925474484322,42.34879716797438,0 -71.03955554412003,42.34891770787053,0"
30,F4,W Hotel and Residences,100 Stuart St,Bay VIllage,William Rawn and Associates,2009,"-71.06606618443909,42.35095930353445,0 -71.06602997012085,42.35087952032737,0 -71.06605025576324,42.35077502773888,0 -71.06599423669354,42.3507722356983,0 -71.06598692256327,42.35065011284684,0 -71.06574872850356,42.35066077436761,0 -71.06569956642389,42.35068852768252,0 -71.06562712849743,42.35069147592703,0 -71.06518155082871,42.35062496646584,0 -71.0651672880452,42.35062588353118,0 -71.06515688794116,42.35063061318657,0 -71.06515034578064,42.35064010868925,0 -71.0651301324293,42.35071036568566,0 -71.06524838574667,42.35072715856682,0 -71.06520751352878,42.35091859262059,0 -71.06505367202084,42.35090287508345,0 -71.06504857751715,42.35091319512325,0 -71.06505375664541,42.35092853727306,0 -71.06506023562665,42.3509438797829,0 -71.06506671530178,42.35095730520231,0 -71.06508359825835,42.35096593314499,0 -71.06509649279381,42.35097361299847,0 -71.0651145658488,42.35098033811584,0 -71.06514304976912,42.35098226531291,0 -71.06578088509768,42.35102852779311,0 -71.06579379548148,42.35097753160189,0 -71.06583541742719,42.35097656851958,0 -71.06583155895405,42.35099003846017,0 -71.06598775867347,42.35100350791278,0 -71.06598768496913,42.3509919547375,0 -71.06600067777264,42.35099195050651,0 -71.06599661066502,42.35096597334947,0 -71.06606618443909,42.35095930353445,0"
EXTRA,H6,Trolley House  and 321 West Second Street,321 West Second St,South Boston,Utile with David Neilson,2003-2006,
